Sigla,Codigo,Municipio,pop,fundo_municipal,desp_orcament,receita,superavit,fundo_municipal_PC,desp_orcament_PC ,receita_PC,,
BA,2905701,Camaçari,242.970,53.072.901,346.520.644,624.280.804,277.760.160,218.43,1426.19,2569.37,,
BA,2905800,Camamu,35.180,13.128.721,30.604.207,40.846.908,10.242.701,373.19,869.93,1161.08,,
BA,2905909,Campo Alegre de Lourdes,28.090,11.487.631,24.335.909,32.277.032,7.941.123,408.96,866.35,1149.06,,
BA,2906006,Campo Formoso,66.616,19.693.082,48.871.762,83.948.180,35.076.418,295.62,733.63,1260.18,,
BA,2906105,Canápolis,9.410,6.564.364,9.312.594,15.574.718,6.262.124,697.59,989.65,1655.12,,
BA,2906204,Canarana,24.067,11.487.631,17.642.431,27.977.324,10.334.893,477.32,733.05,1162.48,,
BA,2906303,Canavieiras,32.336,13.128.721,25.268.828,33.522.889,8.254.061,406.01,781.45,1036.70,,
BA,2906402,Candeal,8.895,7.794.034,13.826.799,19.255.521,5.428.722,876.23,1554.45,2164.76,,
BA,2906501,Candeias,83.158,7.794.034,13.826.799,19.255.521,5.428.722,93.73,166.27,231.55,,
BA,2906600,Candiba,13.210,6.564.361,9.893.268,14.141.057,4.247.789,496.92,748.92,1070.48,,
BA,2906709,Cândido Sales,27.918,11.007.028,19.743.904,33.624.573,13.880.669,394.26,707.21,1204.40,,
BA,2906808,Cansanção,32.908,7.794.034,13.826.799,19.255.521,5.428.722,236.84,420.17,585.13,,
BA,2906824,Canudos,15.732,8.205.451,12.025.873,20.386.374,8.360.501,521.58,764.42,1295.85,,
BA,2906857,Capela do Alto Alegre,11.527,6.596.019,9.634.292,15.454.965,5.820.673,572.22,835.80,1340.76,,
BA,2906873,Capim Grosso,26.577,11.487.631,22.113.920,29.934.649,7.820.729,432.24,832.07,1126.34,,
BA,2906899,Caraíbas,10.222,7.794.034,13.826.799,19.255.521,5.428.722,762.48,1352.65,1883.73,,
BA,2906907,Caravelas,21.414,9.798.804,23.166.396,36.358.091,13.191.695,457.59,1081.83,1697.87,,
BA,2907004,Cardeal da Silva,8.899,4.923.270,12.224.459,15.013.396,2.788.937,553.24,1373.69,1687.09,,
BA,2907103,Carinhanha,28.380,11.487.631,24.015.395,34.560.018,10.544.623,404.78,846.21,1217.76,,
BA,2907202,Casa Nova,64.940,19.693.082,53.785.628,73.999.067,20.213.439,303.25,828.24,1139.50,,
BA,2907301,Castro Alves,25.408,11.498.190,21.167.538,29.802.497,8.634.959,452.54,833.11,1172.96,,
BA,2907400,Catolândia,2.612,4.923.270,4.725.941,8.479.362,3.753.421,1884.87,1809.32,3246.31,,
BA,2907509,Catu,51.077,16.410.901,37.061.835,58.228.636,21.166.801,321.30,725.61,1140.02,,
BA,2907558,Caturama,8.843,4.923.270,8.467.656,11.262.844,2.795.188,556.74,957.55,1273.65,,
BA,2907608,Central,17.013,7.794.034,13.826.799,19.255.521,5.428.722,458.12,812.72,1131.81,,
BA,2907707,Chorrochó,10.734,6.623.469,10.782.329,15.553.386,4.771.057,617.06,1004.50,1448.98,,
BA,2907806,Cícero Dantas,32.300,13.128.721,24.498.220,32.858.117,8.359.897,406.46,758.46,1017.28,,
BA,2907905,Cipó,15.755,8.205.451,14.410.587,20.508.765,6.098.178,520.82,914.67,1301.73,,
BA,2908002,Coaraci,20.964,9.846.541,19.915.270,25.551.315,5.636.045,469.69,949.97,1218.82,,
BA,2908101,Cocos,18.153,9.846.541,19.821.208,30.699.747,10.878.539,542.42,1091.90,1691.17,,
BA,2908200,Conceição da Feira,20.391,9.846.541,14.076.973,21.564.139,7.487.166,482.89,690.35,1057.53,,
BA,2908309,Conceição do Almeida,17.889,7.794.034,13.826.799,19.255.521,5.428.722,435.69,772.92,1076.39,,
BA,2908408,Conceição do Coité,62.040,19.693.082,42.567.923,60.527.640,17.959.717,317.43,686.14,975.62,,
BA,2908507,Conceição do Jacuípe,30.123,11.487.631,17.151.814,31.310.050,14.158.236,381.36,569.39,1039.41,,
BA,2908606,Conde,23.620,9.846.541,21.973.534,32.431.885,10.458.351,416.87,930.29,1373.07,,
BA,2908705,Condeúba,16.898,9.846.541,12.499.080,23.420.536,10.921.456,582.70,739.68,1385.99,,
BA,2908804,Contendas do Sincorá,4.663,4.923.270,6.381.387,9.434.877,3.053.490,1055.82,1368.52,2023.35,,
BA,2908903,Coração de Maria,22.401,11.487.631,16.405.564,27.879.842,11.474.278,512.82,732.36,1244.58,,
BA,2909000,Cordeiros,8.168,7.794.034,13.826.799,19.255.521,5.428.722,954.22,1692.80,2357.43,,
BA,2909109,Coribe,14.307,8.205.451,16.287.084,21.879.566,5.592.482,573.53,1138.40,1529.29,,
BA,2909208,Coronel João Sá,17.066,9.846.541,82.906.534,23.914.514,-58.992.020,576.97,4857.99,1401.30,,
BA,2909307,Correntina,31.249,13.128.721,46.982.049,58.153.496,11.171.447,420.13,1503.47,1860.97,,
BA,2909406,Cotegipe,13.636,8.205.451,12.318.194,19.583.177,7.264.983,601.75,903.36,1436.14,,
BA,2909505,Cravolândia,5.041,4.923.270,6.955.677,9.921.358,2.965.681,976.65,1379.82,1968.13,,
BA,2909604,Crisópolis,20.046,9.846.541,20.235.338,26.189.404,5.954.066,491.20,1009.45,1306.47,,
BA,2909703,Cristópolis,13.280,8.205.451,11.869.220,18.996.759,7.127.539,617.88,893.77,1430.48,,
BA,2909802,Cruz das Almas,58.606,18.051.992,41.710.687,59.230.652,17.519.965,308.02,711.71,1010.66,,
BA,2909901,Curaçá,32.168,13.128.721,29.260.177,45.846.704,16.586.527,408.13,909.61,1425.23,,
BA,2910008,Dário Meira,12.836,7.794.034,13.826.799,19.255.521,5.428.722,607.20,1077.19,1500.12,,
BA,2910057,Dias d'Ávila,66.440,17.296.758,65.343.222,88.450.848,23.107.626,260.34,983.49,1331.29,,
BA,2910107,Dom Basílio,11.355,6.564.361,10.945.633,16.508.809,5.563.176,578.10,963.95,1453.88,,
BA,2910206,Dom Macedo Costa,3.874,4.925.085,6.553.652,8.390.435,1.836.783,1271.32,1691.70,2165.83,,
BA,2910305,Elísio Medrado,7.947,4.923.270,7.934.380,10.731.823,2.797.443,619.51,998.41,1350.42,,
BA,2910404,Encruzilhada,23.766,7.794.034,13.826.799,19.255.521,5.428.722,327.95,581.79,810.21,,
BA,2910503,Entre Rios,39.872,14.769.811,39.425.794,53.148.843,13.723.049,370.43,988.81,1332.99,,
BA,2910602,Esplanada,32.802,13.478.316,33.833.064,64.897.641,31.064.577,410.90,1031.43,1978.47,,
BA,2910701,Euclides da Cunha,56.289,18.051.992,45.433.009,60.464.240,15.031.231,320.70,807.14,1074.18,,
BA,2910727,Eunápolis,100.196,7.794.034,13.826.799,19.255.521,5.428.722,77.79,138.00,192.18,,
BA,2910750,Fátima,17.652,9.434.595,15.232.846,22.651.011,7.418.165,534.48,862.95,1283.20,,
BA,2910776,Feira da Mata,6.184,4.923.270,6.029.781,10.160.449,4.130.668,796.13,975.06,1643.02,,
BA,2910800,Feira de Santana,556.642,53.072.901,225.973.777,506.279.390,280.305.613,95.34,405.96,909.52,,
BA,2910859,Filadélfia,16.740,8.205.451,11.828.596,22.281.296,10.452.700,490.17,706.61,1331.02,,
BA,2910909,Firmino Alves,5.384,4.923.270,6.442.112,9.087.106,2.644.994,914.43,1196.53,1687.80,,
